topic,title,description,date_created,nasa_id,media_type,thumbnail
Curiosity,Mars Curiosity Wheel Mock-up,Mars Curiosity Wheel Mock-up,2013-10-24 00:00:00+00:00,LRC-2013-00664,image,https://images-assets.nasa.gov/image/LRC-2013-00664/LRC-2013-00664~medium.jpg
Curiosity,Mars Curiosity Wheel Mock-up,Mars Curiosity Wheel Mock-up,2013-10-24 00:00:00+00:00,LRC-2013-00667,image,https://images-assets.nasa.gov/image/LRC-2013-00667/LRC-2013-00667~medium.jpg
Curiosity,Mars Curiosity Wheel Mock-up,Mars Curiosity Wheel Mock-up,2013-10-24 00:00:00+00:00,LRC-2013-00662,image,https://images-assets.nasa.gov/image/LRC-2013-00662/LRC-2013-00662~medium.jpg
Curiosity,Mars Curiosity Wheel Mock-up,Mars Curiosity Wheel Mock-up,2013-10-24 00:00:00+00:00,LRC-2013-00666,image,https://images-assets.nasa.gov/image/LRC-2013-00666/LRC-2013-00666~medium.jpg
Curiosity,Mars Curiosity Wheel Mock-up,Mars Curiosity Wheel Mock-up,2013-10-24 00:00:00+00:00,LRC-2013-00665,image,https://images-assets.nasa.gov/image/LRC-2013-00665/LRC-2013-00665~medium.jpg
Curiosity,Mars Curiosity Wheel Mock-up,Mars Curiosity Wheel Mock-up,2013-10-24 00:00:00+00:00,LRC-2013-00663,image,https://images-assets.nasa.gov/image/LRC-2013-00663/LRC-2013-00663~medium.jpg
Curiosity,Mount Sharp 'Photobombs' Curiosity,"This self-portrait of NASA's Curiosity Mars rover shows the vehicle on Vera Rubin Ridge, which it's been investigating for the past several months. Directly behind the rover is the start of a clay-rich slope scientists are eager to begin exploring. In the coming week, Curiosity will begin to climb this slope. North is on the left and west is on the right, with Gale Crater's rim on the horizon of both edges.  Poking up just behind Curiosity's mast is Mount Sharp, photobombing the robot's selfie. Curiosity landed on Mars five years ago with the intention of studying lower Mount Sharp, where it will remain for all of its time on Mars. The mountain's base provides access to layers formed over millions of years. These layers formed in the presence of water -- likely due to a lake or lakes that sat at the bottom of the mountain, which sits inside of Gale Crater.  This mosaic was assembled from dozens of images taken by Curiosity's Mars Hands Lens Imager (MAHLI). They were all taken on Jan. 23, 2018, during Sol 1943.  The view does not include the rover's arm nor the MAHLI camera itself, except in the miniature scene reflected upside down in the parabolic mirror at the top of the mast. That mirror is part of Curiosity's Chemistry and Camera (ChemCam) instrument. MAHLI appears in the center of the mirror.  Wrist motions and turret rotations on the arm allowed MAHLI to acquire the mosaic's component images. The arm was positioned out of the shot in the images, or portions of images, that were used in this mosaic.  A full-resolution image is available at https://photojournal.jpl.nasa.gov/catalog/PIA22207",2018-01-31 00:00:00+00:00,PIA22207,image,https://images-assets.nasa.gov/image/PIA22207/PIA22207~medium.jpg
Curiosity,Curiosity is Ready for Clay (Highlighted),"This mosaic taken by NASA's Mars Curiosity rover looks uphill at Mount Sharp, which Curiosity has been climbing. Highlighted in white is an area with clay-bearing rocks that scientists are eager to explore; it could shed additional light on the role of water in creating Mount Sharp. The mosaic was assembled from dozens of images taken by Curiosity's Mast Camera (Mastcam). It was taken on Sol 1931 back in January.  Mount Sharp stands in the middle of Gale Crater, which is 96 miles (154 kilometers) in diameter. This mound, which Curiosity has been climbing since 2014, likely formed in the presence of water at various points of time in Mars ancient history. That makes it an ideal place to study how water influenced the habitability of Mars billions of years ago.  The scene has been white-balanced so the colors of the rock materials resemble how they would appear under daytime lighting conditions on Earth.  https://photojournal.jpl.nasa.gov/catalog/PIA22312",2018-03-22 00:00:00+00:00,PIA22312,image,https://images-assets.nasa.gov/image/PIA22312/PIA22312~medium.jpg
Curiosity,Curiosity's Dusty Selfie,"A self-portrait of NASA's Curiosity rover taken on Sol 2082 (June 15, 2018). A Martian dust storm has reduced sunlight and visibility at the rover's location in Gale Crater. Self-portraits are created using images taken by Curiosity's Mars Hands Lens Imager (MAHLI).  https://photojournal.jpl.nasa.gov/catalog/PIA22486",2018-06-20 00:00:00+00:00,PIA22486,image,https://images-assets.nasa.gov/image/PIA22486/PIA22486~medium.jpg
Curiosity,Curiosity is Ready for Clay,"This mosaic taken by NASA's Mars Curiosity rover looks uphill at Mount Sharp, which Curiosity has been climbing. Spanning the center of the image is an area with clay-bearing rocks that scientists are eager to explore; it could shed additional light on the role of water in creating Mount Sharp. The mosaic was assembled from dozens of images taken by Curiosity's Mast Camera (Mastcam). It was taken on Sol 1931 back in January.  Mount Sharp stands in the middle of Gale Crater, which is 96 miles (154 kilometers) in diameter. This mound, which Curiosity has been climbing since 2014, likely formed in the presence of water at various points of time in Mars ancient history. That makes it an ideal place to study how water influenced the habitability of Mars billions of years ago.  The scene has been white-balanced so the colors of the rock materials resemble how they would appear under daytime lighting conditions on Earth.  https://photojournal.jpl.nasa.gov/catalog/PIA22313",2018-03-22 00:00:00+00:00,PIA22313,image,https://images-assets.nasa.gov/image/PIA22313/PIA22313~medium.jpg
Perseverance,From 'Tribulation' to 'Perseverance' on Mars,"This graphic shows the route that NASA's Mars Exploration Rover Opportunity drove in its final approach to 'Perseverance Valley' on the western rim of Endeavour Crater.  The map covers an area about four-tenths of a mile (two-thirds of a kilometer) wide, with the interior of the crater on the right. Opportunity entered this mapped area from the north along the gold traverse line on March 21, 2017, approaching the southern tip of the ""Cape Tribulation"" segment of Endeavour's rim. It reached the top of ""Perseverance Valley"" with a drive on Sol 4720 (the 4,720th Martian day) of the mission, on May 4, 2017.  https://photojournal.jpl.nasa.gov/catalog/PIA21496",2017-05-15 17:55:02+00:00,PIA21496,image,https://images-assets.nasa.gov/image/PIA21496/PIA21496~medium.jpg
Perseverance,Mars 2020 Perseverance Rover Wheels,"Wheels are installed on NASA’s Mars Perseverance rover inside Kennedy Space Center’s Payload Hazardous Servicing Facility on March 30, 2020. Perseverance will liftoff aboard a United Launch Alliance Atlas V 541 rocket from Cape Canaveral Air Force Station in July 2020. NASA’s Launch Services Program based at Kennedy is managing the launch. The rover will land on Mars on Feb. 18, 2021.",2020-04-02 00:00:00+00:00,KSC-20200402-PH-JPL01_0002,image,https://images-assets.nasa.gov/image/KSC-20200402-PH-JPL01_0002/KSC-20200402-PH-JPL01_0002~medium.jpg
Perseverance,Mars 2020 Perseverance Rover Wheels,"Wheels are installed on NASA’s Mars Perseverance rover inside Kennedy Space Center’s Payload Hazardous Servicing Facility on March 30, 2020. Perseverance will liftoff aboard a United Launch Alliance Atlas V 541 rocket from Cape Canaveral Air Force Station in July 2020. NASA’s Launch Services Program based at Kennedy is managing the launch. The rover will land on Mars on Feb. 18, 2021.",2020-04-02 00:00:00+00:00,KSC-20200402-PH-JPL01_0003,image,https://images-assets.nasa.gov/image/KSC-20200402-PH-JPL01_0003/KSC-20200402-PH-JPL01_0003~medium.jpg
Perseverance,Mars 2020 Perseverance Rover Wheels,"Wheels are installed on NASA’s Mars Perseverance rover inside Kennedy Space Center’s Payload Hazardous Servicing Facility on March 30, 2020. Perseverance will liftoff aboard a United Launch Alliance Atlas V 541 rocket from Cape Canaveral Air Force Station in July 2020. NASA’s Launch Services Program based at Kennedy is managing the launch. The rover will land on Mars on Feb. 18, 2021.",2020-04-02 00:00:00+00:00,KSC-20200402-PH-JPL01_0001,image,https://images-assets.nasa.gov/image/KSC-20200402-PH-JPL01_0001/KSC-20200402-PH-JPL01_0001~medium.jpg
Perseverance,Perseverance on Mars,"This illustration depicts NASA's Perseverance rover operating on the surface of Mars. Perseverance will land at the Red Planet's Jezero Crater a little after 3:40 p.m. EST (12:40 p.m. PST) on Feb. 18, 2021.  https://photojournal.jpl.nasa.gov/catalog/PIA23764",2020-03-05 00:00:00+00:00,PIA23764,image,https://images-assets.nasa.gov/image/PIA23764/PIA23764~small.jpg
Perseverance,Mars 2020 Perseverance Encapsulation,"Inside the Payload Hazardous Servicing Facility at NASA’s Kennedy Space Center in Florida, the agency’s Mars 2020 Perseverance rover is being prepared for encapsulation in the United Launch Alliance Atlas V payload fairing on June 18, 2020. The Mars Perseverance rover is scheduled to launch on July 20, 2020, atop the Atlas V rocket from Space Launch Complex 41 at Cape Canaveral Air Force Station. The rover is part of NASA’s Mars Exploration Program, a long-term effort of robotic exploration of the Red Planet. The rover’s seven instruments will search for habitable conditions in the ancient past and signs of past microbial life on Mars. The Launch Services Program at Kennedy is responsible for launch management.",2020-06-18 00:00:00+00:00,KSC-20200618-PH-CMM01_0001,image,https://images-assets.nasa.gov/image/KSC-20200618-PH-CMM01_0001/KSC-20200618-PH-CMM01_0001~medium.jpg
Perseverance,Mars 2020 Perseverance Encapsulation,"Inside the Payload Hazardous Servicing Facility at NASA’s Kennedy Space Center in Florida, the agency’s Mars 2020 Perseverance rover is being prepared for encapsulation in the United Launch Alliance Atlas V payload fairing on June 18, 2020. The Mars Perseverance rover is scheduled to launch on July 20, 2020, atop the Atlas V rocket from Space Launch Complex 41 at Cape Canaveral Air Force Station. The rover is part of NASA’s Mars Exploration Program, a long-term effort of robotic exploration of the Red Planet. The rover’s seven instruments will search for habitable conditions in the ancient past and signs of past microbial life on Mars. The Launch Services Program at Kennedy is responsible for launch management.",2020-06-18 00:00:00+00:00,KSC-20200618-PH-CMM01_0002,image,https://images-assets.nasa.gov/image/KSC-20200618-PH-CMM01_0002/KSC-20200618-PH-CMM01_0002~medium.jpg
Perseverance,Mars 2020 Perseverance Encapsulation,"Inside the Payload Hazardous Servicing Facility at NASA’s Kennedy Space Center in Florida, the agency’s Mars 2020 Perseverance rover is encapsulated in the two halves of the United Launch Alliance Atlas V payload fairing on June 18, 2020. The Mars Perseverance rover is scheduled to launch on July 20, 2020, atop the Atlas V rocket from Space Launch Complex 41 at Cape Canaveral Air Force Station. The rover is part of NASA’s Mars Exploration Program, a long-term effort of robotic exploration of the Red Planet. The rover’s seven instruments will search for habitable conditions in the ancient past and signs of past microbial life on Mars. The Launch Services Program at Kennedy is responsible for launch management.",2020-06-18 00:00:00+00:00,KSC-20200618-PH-CMM01_0004,image,https://images-assets.nasa.gov/image/KSC-20200618-PH-CMM01_0004/KSC-20200618-PH-CMM01_0004~medium.jpg
Perseverance,Mars 2020 Perseverance Encapsulation,"Inside the Payload Hazardous Servicing Facility at NASA’s Kennedy Space Center in Florida, the agency’s Mars 2020 Perseverance rover is being encapsulated in the United Launch Alliance Atlas V payload fairing on June 18, 2020. The Mars Perseverance rover is scheduled to launch on July 20, 2020, atop the Atlas V rocket from Space Launch Complex 41 at Cape Canaveral Air Force Station. The rover is part of NASA’s Mars Exploration Program, a long-term effort of robotic exploration of the Red Planet. The rover’s seven instruments will search for habitable conditions in the ancient past and signs of past microbial life on Mars. The Launch Services Program at Kennedy is responsible for launch management.",2020-06-18 00:00:00+00:00,KSC-20200618-PH-CMM01_0003,image,https://images-assets.nasa.gov/image/KSC-20200618-PH-CMM01_0003/KSC-20200618-PH-CMM01_0003~medium.jpg
Perseverance,NASA Perseverance Rover Initial Surface Checkout Briefing,"An image showing the descent stage holding NASA’s Perseverance rover can be seen falling through the Martian atmosphere, its parachute trailing behind, in this image taken on Feb. 18, 2021, by the High Resolution Imaging Experiment (HiRISE) camera aboard the Mars Reconnaissance Orbiter is shown during a NASA Perseverance rover initial surface checkout briefing, Friday Feb. 19, 2021, at NASA's Jet Propulsion Laboratory in Pasadena, California.  The ancient river delta, which is the target of the Perseverance mission, can be seen entering Jezero Crater from the left. A key objective for Perseverance’s mission on Mars is astrobiology, including the search for signs of ancient microbial life. The rover will characterize the planet’s geology and past climate, pave the way for human exploration of the Red Planet, and be the first mission to collect and cache Martian rock and regolith. Photo Credit: (NASA/Bill Ingalls)",2021-02-19 00:00:00+00:00,NHQ202102190008,image,https://images-assets.nasa.gov/image/NHQ202102190008/NHQ202102190008~medium.jpg
