id,degree_x,degree_centrality_x,betweenness_centrality_x,eigenvector_centrality,closeness_centrality,label,degree_y,degree_centrality_y,betweenness_centrality_y,community
Steven Munro Elkman,9,0.008086253369272238,0.0,0.014868515566199433,0.46773574138345636,Steven Munro Elkman,9,0.0080862533692722,0.0,13
Peggy Siegal,20,0.017969451931716084,0.0022171002087473216,0.019388896660633953,0.47066039541622473,Peggy Siegal,20,0.017969451931716,0.0022171002087473,1
David Grosof,1,0.0008984725965858042,0.0,0.012061990121582438,0.46608077193141406,David Grosof,1,0.0008984725965858,0.0,0
Sultan Bin Sulayem,4,0.0035938903863432167,2.4239368612926367e-06,0.012990852086173335,0.4667000112209598,Sultan Bin Sulayem,4,0.0035938903863432,2.4239368612926367e-06,0
Faith Kate,1,0.0008984725965858042,0.0,0.012061990121582438,0.46608077193141406,Faith Kate,1,0.0008984725965858,0.0,0
Bradley J. Edwards,6,0.005390835579514825,0.0,0.015689570518345654,0.4675282277448657,Bradley J. Edwards,6,0.0053908355795148,0.0,0
Robert D. Critton Jr.,31,0.027852650494159928,0.00011018334956893002,0.035120395330691376,0.47404796461400234,Robert D. Critton Jr.,31,0.0278526504941599,0.0001101833495689,0
Jacquie Johnson,6,0.005390835579514825,0.0,0.015689570518345654,0.4675282277448657,Jacquie Johnson,6,0.0053908355795148,0.0,0
Jessica Cadwell,26,0.02336028751123091,4.2896337181663636e-05,0.03166922399930529,0.47255992167575206,Jessica Cadwell,26,0.0233602875112309,4.289633718166363e-05,0
Connie Zaguirre,6,0.005390835579514825,0.0,0.015689570518345654,0.4675282277448657,Connie Zaguirre,6,0.0053908355795148,0.0,0
Jack Goldberger,69,0.06199460916442049,0.0021420714511111313,0.05874762531117985,0.4831768112503105,Jack Goldberger,69,0.0619946091644204,0.0021420714511111,0
Darren Indyke,121,0.10871518418688231,0.01055689391360381,0.08454887101094105,0.4968451793196262,Darren Indyke,121,0.1087151841868823,0.0105568939136038,0
Howard Rubenstein,8,0.0071877807726864335,2.585532652045479e-06,0.01776950131457179,0.46898470197460046,Howard Rubenstein,8,0.0071877807726864,2.585532652045479e-06,0
Rush George,5,0.004492362982929021,0.0,0.016597433400993792,0.46835938903863433,Rush George,5,0.004492362982929,0.0,0
George Rush,7,0.006289308176100629,1.3196989578148802e-06,0.01739447776269915,0.46877607888653344,George Rush,7,0.0062893081761006,1.3196989578148802e-06,0
Michael J. Pike,6,0.005390835579514825,1.373564221399161e-06,0.016373547964659587,0.4685676413236671,Michael J. Pike,6,0.0053908355795148,1.373564221399161e-06,0
Mortimer Zuckerman,8,0.0071877807726864335,1.1531013925863547e-05,0.0181041989126811,0.4691935108356755,Mortimer Zuckerman,8,0.0071877807726864,1.1531013925863548e-05,0
Grant J. Smith,3,0.0026954177897574125,0.0,2.5267923287518813e-31,0.0026954177897574125,Grant J. Smith,3,0.0026954177897574,0.0,26
Ken Jenne,3,0.0026954177897574125,0.0,2.5267923287518813e-31,0.0026954177897574125,Ken Jenne,3,0.0026954177897574,0.0,26
Robert C. Buschel,3,0.0026954177897574125,0.0,2.5267923287518813e-31,0.0026954177897574125,Robert C. Buschel,3,0.0026954177897574,0.0,26
Sam Fields,3,0.0026954177897574125,0.0,2.5267923287518813e-31,0.0026954177897574125,Sam Fields,3,0.0026954177897574,0.0,26
Roger Schank,1,0.0008984725965858042,0.0,0.012061990121582438,0.46608077193141406,Roger Schank,1,0.0008984725965858,0.0,0
Peter Mandelson,8,0.0071877807726864335,1.812181367728305e-05,0.01654491761302678,0.4685676413236671,Peter Mandelson,8,0.0071877807726864,1.812181367728305e-05,0
Joel,4,0.0035938903863432167,1.185035798854178e-06,0.014038503817057122,0.4671137523656592,Joel,4,0.0035938903863432,1.185035798854178e-06,0
Stephen Hanson,4,0.0035938903863432167,1.185035798854178e-06,0.014038503817057122,0.4671137523656592,Stephen Hanson,4,0.0035938903863432,1.185035798854178e-06,0
Steve Hanson,3,0.0026954177897574125,0.0,0.012711060200886016,0.4664934153771258,Steve Hanson,3,0.0026954177897574,0.0,0
Brian Baker,1,0.0008984725965858042,0.0,0.012061990121582438,0.46608077193141406,Brian Baker,1,0.0008984725965858,0.0,0
Jes Staley,5,0.004492362982929021,5.117200040506677e-06,0.013387152411122793,0.4671137523656592,Jes Staley,5,0.004492362982929,5.117200040506677e-06,8
PETER MANDELSON,2,0.0017969451931716084,0.0,0.012371466611774838,0.4662870023614722,PETER MANDELSON,2,0.0017969451931716,0.0,8
Boris Nikolic,13,0.011680143755615454,4.322687402638536e-05,0.016613084017901635,0.4685676413236671,Boris Nikolic,13,0.0116801437556154,4.322687402638536e-05,4
Joseph Evangelisti,2,0.0017969451931716084,0.0,0.012371466611774838,0.4662870023614722,Joseph Evangelisti,2,0.0017969451931716,0.0,8
Alan Dershowitz,110,0.09883198562443846,0.006966660924198955,0.09409290452561889,0.4996721789174619,Alan Dershowitz,110,0.0988319856244384,0.0069666609241989,0
Alan M. Dershowitz,34,0.030548068283917342,0.00014120839069964913,0.036687809725349706,0.47490249001213486,Alan M. Dershowitz,34,0.0305480682839173,0.0001412083906996,0
Barry Krischer,22,0.019766397124887692,9.160592553716328e-07,0.030411699680039678,0.4717137982707821,Barry Krischer,22,0.0197663971248876,9.160592553716328e-07,0
H.C. Clark II,22,0.019766397124887692,9.160592553716328e-07,0.030411699680039678,0.4717137982707821,H.C. Clark II,22,0.0197663971248876,9.160592553716328e-07,0
Jill,15,0.013477088948787063,0.0,0.02558004444996037,0.4702403504403959,Jill,15,0.013477088948787,0.0,0
Kenneth Starr,39,0.03504043126684636,0.00014706251748452937,0.04424349083471962,0.4764053459931859,Kenneth Starr,39,0.0350404312668463,0.0001470625174845,0
Lanna Belohlavek,31,0.027852650494159928,6.885871261755998e-05,0.038890737035836245,0.4742613075323705,Lanna Belohlavek,31,0.0278526504941599,6.885871261755998e-05,0
Larry Keller,22,0.019766397124887692,9.160592553716328e-07,0.030411699680039678,0.4717137982707821,Larry Keller,22,0.0197663971248876,9.160592553716328e-07,0
Margie,22,0.019766397124887692,9.160592553716328e-07,0.030411699680039678,0.4717137982707821,Margie,22,0.0197663971248876,9.160592553716328e-07,0
Martin Weinberg,81,0.07277628032345014,0.0021015187246117097,0.06736112145298308,0.4858499886292887,Martin Weinberg,81,0.0727762803234501,0.0021015187246117,0
Michael Reiter,26,0.02336028751123091,3.769000295498775e-05,0.031835181446033235,0.47255992167575206,Michael Reiter,26,0.0233602875112309,3.769000295498775e-05,0
Mike,22,0.019766397124887692,9.160592553716328e-07,0.030411699680039678,0.4717137982707821,Mike,22,0.0197663971248876,9.160592553716328e-07,0
Peter Elwell,22,0.019766397124887692,9.160592553716328e-07,0.030411699680039678,0.4717137982707821,Peter Elwell,22,0.0197663971248876,9.160592553716328e-07,0
Rick Lincoln,22,0.019766397124887692,9.160592553716328e-07,0.030411699680039678,0.4717137982707821,Rick Lincoln,22,0.0197663971248876,9.160592553716328e-07,0
F.,5,0.004492362982929021,0.0,0.014390084671894694,0.466906790135989,F.,5,0.004492362982929,0.0,0
Joyce,9,0.008086253369272238,4.3092210867424665e-06,0.01779247134198551,0.46835938903863433,Joyce,9,0.0080862533692722,4.3092210867424665e-06,0
Martin Weinbergl,5,0.004492362982929021,0.0,0.014390084671894694,0.466906790135989,Martin Weinbergl,5,0.004492362982929,0.0,0
David Kennedy,21,0.01886792452830189,1.5425052753680417e-07,0.029833705442398568,0.47150274064292047,David Kennedy,21,0.0188679245283018,1.5425052753680417e-07,0
Jill Reiter,21,0.01886792452830189,1.5425052753680417e-07,0.029833705442398568,0.47150274064292047,Jill Reiter,21,0.0188679245283018,1.5425052753680417e-07,0
Katherine Fernandez Rundle,21,0.01886792452830189,1.5425052753680417e-07,0.029833705442398568,0.47150274064292047,Katherine Fernandez Rundle,21,0.0188679245283018,1.5425052753680417e-07,0
Palm Beach Post Staff Writer,20,0.017969451931716084,0.0,0.027707598956156227,0.47108119147828664,Palm Beach Post Staff Writer,20,0.017969451931716,0.0,0
William Kennedy Smith,21,0.01886792452830189,1.5425052753680417e-07,0.029833705442398575,0.47150274064292047,William Kennedy Smith,21,0.0188679245283018,1.5425052753680417e-07,0
Jessica Cadwel,6,0.005390835579514825,0.0,0.016426594913851934,0.46773574138345636,Jessica Cadwel,6,0.0053908355795148,0.0,0
Armando Fernandez,9,0.008086253369272238,0.0,0.014868515566199433,0.46773574138345636,Armando Fernandez,9,0.0080862533692722,0.0,13
David Gibson,9,0.008086253369272238,0.0,0.014868515566199433,0.46773574138345636,David Gibson,9,0.0080862533692722,0.0,13
Leonard Lebovitch,9,0.008086253369272238,0.0,0.014868515566199433,0.46773574138345636,Leonard Lebovitch,9,0.0080862533692722,0.0,13
Steven Summerlin,9,0.008086253369272238,0.0,0.014868515566199433,0.46773574138345636,Steven Summerlin,9,0.0080862533692722,0.0,13
Tom Pritzker,17,0.015274034141958671,6.205278364909151e-05,0.017323256580961188,0.4694025057180077,Tom Pritzker,17,0.0152740341419586,6.205278364909151e-05,13
Barack Obama,9,0.008086253369272238,0.0,0.014868515566199433,0.46773574138345636,Barack Obama,9,0.0080862533692722,0.0,13
Rod Blagojevich,9,0.008086253369272238,0.0,0.014868515566199433,0.46773574138345636,Rod Blagojevich,9,0.0080862533692722,0.0,13
Daniel Siad,1,0.0008984725965858042,0.0,0.012061990121582438,0.46608077193141406,Daniel Siad,1,0.0008984725965858,0.0,0
Lesley Groff,79,0.07097933513027853,0.002300980638188429,0.06279926859760351,0.4881003359596698,Lesley Groff,79,0.0709793351302785,0.0023009806381884,1
Margaux Rogers,2,0.0017969451931716084,0.0,0.013513791612576695,0.4662870023614722,Margaux Rogers,2,0.0017969451931716,0.0,1
Faith Kates,11,0.009883198562443846,0.004945454495087023,0.01356770953339179,0.4694025057180077,Faith Kates,11,0.0098831985624438,0.004945454495087,8
Gmax,13,0.011680143755615454,3.709718460828624e-05,0.017806490954667263,0.46898470197460046,Gmax,13,0.0116801437556154,3.7097184608286246e-05,0
Al Seckel,1,0.0008984725965858042,0.0,0.012061990121582438,0.46608077193141406,Al Seckel,1,0.0008984725965858,0.0,0
John Brockman,35,0.031446540880503145,0.00042128022649266057,0.05138625393645645,0.4783516229400487,John Brockman,35,0.0314465408805031,0.0004212802264926,4
Benjamin Wegg-Prosser,4,0.0035938903863432167,0.0,0.01304772837246831,0.4667000112209598,Benjamin Wegg-Prosser,4,0.0035938903863432,0.0,0
Michael Greenberg,4,0.0035938903863432167,0.0,0.01304772837246831,0.4667000112209598,Michael Greenberg,4,0.0035938903863432,0.0,0
Shlomit Dekel,4,0.0035938903863432167,0.0,0.01304772837246831,0.4667000112209598,Shlomit Dekel,4,0.0035938903863432,0.0,0
Paul Prosperi,3,0.0026954177897574125,0.003493700996076454,0.012075202057155334,0.466906790135989,Paul Prosperi,3,0.0026954177897574,0.0034937009960764,29
Martin Weinberg Esq,2,0.0017969451931716084,0.0,0.012510214392468213,0.4667000112209598,Martin Weinberg Esq,2,0.0017969451931716,0.0,1
Brett D. Jaffe,14,0.012578616352201259,1.3329309696797918e-05,0.02276873855463874,0.4702403504403959,Brett D. Jaffe,14,0.0125786163522012,1.3329309696797916e-05,0
GMAX,18,0.016172506738544475,7.902184615665578e-05,0.02349666693468792,0.47108119147828664,GMAX,18,0.0161725067385444,7.902184615665578e-05,0
Mark Cohen,14,0.012578616352201259,1.3329309696797918e-05,0.02276873855463874,0.4702403504403959,Mark Cohen,14,0.0125786163522012,1.3329309696797916e-05,0
The Duke,7,0.006289308176100629,4.847873722585274e-07,0.01503553894217901,0.467320898153848,The Duke,7,0.0062893081761006,4.847873722585274e-07,0
Annette Witheridge,14,0.012578616352201259,1.3329309696797918e-05,0.02276873855463874,0.4702403504403959,Annette Witheridge,14,0.0125786163522012,1.3329309696797916e-05,0
Jay Lefkowitz,27,0.02425876010781671,0.00015763045623523822,0.03254814440682989,0.4734090859554929,Jay Lefkowitz,27,0.0242587601078167,0.0001576304562352,0
NY Max,9,0.008086253369272238,1.494761064463793e-06,0.01901682071391216,0.4685676413236671,NY Max,9,0.0080862533692722,1.494761064463793e-06,0
Stephanie,5,0.004492362982929021,0.0003461018207038082,0.01435712608917925,0.467320898153848,Stephanie,5,0.004492362982929,0.0003461018207038,1
R. Couri Hay,1,0.0008984725965858042,0.0,0.012061990121582438,0.46608077193141406,R. Couri Hay,1,0.0008984725965858,0.0,0
Ghislaine Maxwell,30,0.026954177897574125,8.244848095339668e-05,0.03894483580920344,0.4736218540840122,Ghislaine Maxwell,30,0.0269541778975741,8.244848095339668e-05,0
Jeffrey,4,0.0035938903863432167,5.763583203518047e-06,0.0032456036686334027,0.3324317430084944,Jeffrey,4,0.0035938903863432,5.763583203518047e-06,1
Alexandra Wolfe,6,0.005390835579514825,2.154610543371233e-06,0.014136592527101761,0.4671137523656592,Alexandra Wolfe,6,0.0053908355795148,2.154610543371233e-06,0
Darren,8,0.0071877807726864335,8.934288491774579e-06,0.016759758156081574,0.46835938903863433,Darren,8,0.0071877807726864,8.934288491774579e-06,0
Kirsty Mackenzie,6,0.005390835579514825,1.0265180231632943e-05,0.016219729452999133,0.4685676413236671,Kirsty Mackenzie,6,0.0053908355795148,1.0265180231632943e-05,0
Darren lndyke,27,0.02425876010781671,0.0004104751694146487,0.029216768610047104,0.4753309090378562,Darren lndyke,27,0.0242587601078167,0.0004104751694146,0
Vicky Ward,9,0.008086253369272238,3.673610976447951e-05,0.01651512391866499,0.4691935108356755,Vicky Ward,9,0.0080862533692722,3.673610976447951e-05,8
gmax,3,0.0026954177897574125,0.0,0.01275743055839842,0.46773574138345636,gmax,3,0.0026954177897574,0.0,8
Michael S. Sitrick,4,0.0035938903863432167,0.0,0.013452219271896217,0.4667000112209598,Michael S. Sitrick,4,0.0035938903863432,0.0,0
Kristin Andersen,4,0.0035938903863432167,0.0,0.013452219271896217,0.4667000112209598,Kristin Andersen,4,0.0035938903863432,0.0,0
Mike Sitrick,4,0.0035938903863432167,0.0,0.013528683957854384,0.4667000112209598,Mike Sitrick,4,0.0035938903863432,0.0,0
MOMMINNEMUMMIN,1,0.0008984725965858042,0.0,0.012061990121582438,0.46608077193141406,MOMMINNEMUMMIN,1,0.0008984725965858,0.0,0
Eva Dubin,5,0.004492362982929021,2.9625894971354445e-06,0.014082160776436417,0.466906790135989,Eva Dubin,5,0.004492362982929,2.9625894971354445e-06,2
Jean Luc Brunel,2,0.0017969451931716084,0.0,0.01244604333403986,0.4662870023614722,Jean Luc Brunel,2,0.0017969451931716,0.0,4
Landon Thomas,4,0.0035938903863432167,0.0008106683694246009,0.012917857526701427,0.466906790135989,Landon Thomas,4,0.0035938903863432,0.0008106683694246,8
Landon Thomas Jr.,20,0.017969451931716084,0.0011123638632413297,0.019751957950523286,0.47234810638141067,Landon Thomas Jr.,20,0.017969451931716,0.0011123638632413,8
max,2,0.0017969451931716084,0.0,0.012444468792898853,0.4662870023614722,max,2,0.0017969451931716,0.0,0
Bill Siegel,5,0.004492362982929021,0.004365510287188039,0.012374509379446019,0.4675282277448657,Bill Siegel,5,0.004492362982929,0.004365510287188,0
Denis McDhimmi,2,0.0017969451931716084,0.0,0.00029283612180751924,0.31598459530342643,Denis McDhimmi,2,0.0017969451931716,0.0,0
Denis McDonough,2,0.0017969451931716084,0.0,0.00029283612180751924,0.31598459530342643,Denis McDonough,2,0.0017969451931716,0.0,0
Brian Basham,8,0.0071877807726864335,4.3092210867424656e-07,0.01473296404821469,0.4675282277448657,Brian Basham,8,0.0071877807726864,4.309221086742466e-07,0
Gareth Thompson,8,0.0071877807726864335,4.3092210867424656e-07,0.01473296404821469,0.4675282277448657,Gareth Thompson,8,0.0071877807726864,4.309221086742466e-07,0
Ian Ian Maxwell,8,0.0071877807726864335,4.3092210867424656e-07,0.01473296404821469,0.4675282277448657,Ian Ian Maxwell,8,0.0071877807726864,4.309221086742466e-07,0
J Jep,10,0.008984725965858042,1.4543621167755822e-05,0.015303779588942077,0.4679434393147989,J Jep,10,0.008984725965858,1.4543621167755822e-05,0
Kevin Maxwell,8,0.0071877807726864335,4.3092210867424656e-07,0.01473296404821469,0.4675282277448657,Kevin Maxwell,8,0.0071877807726864,4.309221086742466e-07,0
Ross Gow,8,0.0071877807726864335,4.3092210867424656e-07,0.01473296404821469,0.4675282277448657,Ross Gow,8,0.0071877807726864,4.309221086742466e-07,0
James Green,4,0.0035938903863432167,0.0,0.014070679818636602,0.4671137523656592,James Green,4,0.0035938903863432,0.0,0
Paul Rampell,4,0.0035938903863432167,0.0,0.014070679818636602,0.4671137523656592,Paul Rampell,4,0.0035938903863432,0.0,0
paul prosperi,4,0.0035938903863432167,0.0,0.014070679818636602,0.4671137523656592,paul prosperi,4,0.0035938903863432,0.0,0
Scott Denett,4,0.0035938903863432167,6.18586382605578e-07,0.01614383049871125,0.46815132178450786,Scott Denett,4,0.0035938903863432,6.18586382605578e-07,0
Jonathan,1,0.0008984725965858042,0.0,9.413034948527371e-40,0.0008984725965858042,Jonathan,1,0.0008984725965858,0.0,30
Peter Green,1,0.0008984725965858042,0.0,9.413034948527371e-40,0.0008984725965858042,Peter Green,1,0.0008984725965858,0.0,30
Boris Nikoli,2,0.0017969451931716084,0.0,0.01244604333403986,0.4662870023614722,Boris Nikoli,2,0.0017969451931716,0.0,4
Lawrence Krauss,22,0.019766397124887692,0.003034593984248242,0.017694181019404044,0.47255992167575206,Lawrence Krauss,22,0.0197663971248876,0.0030345939842482,12
Rebecca Watson,2,0.0017969451931716084,0.0,0.012471036060030558,0.46773574138345636,Rebecca Watson,2,0.0017969451931716,0.0,12
Jackie Perczel,1,0.0008984725965858042,0.0,0.0019546103811477786,0.3290067515881758,Jackie Perczel,1,0.0008984725965858,0.0,0
Jackie Perczek,5,0.004492362982929021,1.5351600121520034e-06,0.016495365526444494,0.46835938903863433,Jackie Perczek,5,0.004492362982929,1.5351600121520034e-06,0
Larry,37,0.033243486073674756,0.00018813880721623656,0.04354322050755813,0.4783516229400487,Larry,37,0.0332434860736747,0.0001881388072162,1
Sean J. Lancaster,1,0.0008984725965858042,0.0,0.012061990121582438,0.46608077193141406,Sean J. Lancaster,1,0.0008984725965858,0.0,0
Jesse Kornbluth,2,0.0017969451931716084,0.0,0.012510214392468213,0.4667000112209598,Jesse Kornbluth,2,0.0017969451931716,0.0,1
Richard Kahn,95,0.0853548966756514,0.0050399017309783875,0.0634154845749898,0.48855290928925693,Richard Kahn,95,0.0853548966756514,0.0050399017309783,1
Mark Green,2,0.0017969451931716084,0.0,0.013513791612576695,0.4662870023614722,Mark Green,2,0.0017969451931716,0.0,1
Rich Kahn,17,0.015274034141958671,6.514340087833284e-05,0.02351645094680558,0.47108119147828664,Rich Kahn,17,0.0152740341419586,6.514340087833284e-05,0
Sean,3,0.0026954177897574125,0.0,0.013281066784959515,0.4664934153771258,Sean,3,0.0026954177897574,0.0,0
Marshall Heyman,3,0.0026954177897574125,0.0,0.013845692693008302,0.4667000112209598,Marshall Heyman,3,0.0026954177897574,0.0,1
Eric Roth,5,0.004492362982929021,3.4473768693939725e-06,0.015165723444112444,0.4671137523656592,Eric Roth,5,0.004492362982929,3.4473768693939725e-06,1
Shawn Lancaster,3,0.0026954177897574125,0.0,0.013419223369802022,0.4664934153771258,Shawn Lancaster,3,0.0026954177897574,0.0,1
Peggy Siega,1,0.0008984725965858042,0.0,0.012061990121582438,0.46608077193141406,Peggy Siega,1,0.0008984725965858,0.0,0
David Kelley,4,0.0035938903863432167,0.0,0.013017791655328004,0.4667000112209598,David Kelley,4,0.0035938903863432,0.0,19
Melanie Walker,7,0.006289308176100629,8.887768491406336e-06,0.015030377698152153,0.467320898153848,Melanie Walker,7,0.0062893081761006,8.887768491406336e-06,19
Stephen Moore,4,0.0035938903863432167,0.0,0.013017791655328004,0.4667000112209598,Stephen Moore,4,0.0035938903863432,0.0,19
Steven Sinofsky,5,0.004492362982929021,2.4239368612926367e-06,0.01329727858550678,0.466906790135989,Steven Sinofsky,5,0.004492362982929,2.4239368612926367e-06,19
Uncle F Jeffrey Epstein,1,0.0008984725965858042,0.0,0.012061990121582438,0.46608077193141406,Uncle F Jeffrey Epstein,1,0.0008984725965858,0.0,0
Jennifer Jacquet,1,0.0008984725965858042,0.0,0.012061990121582438,0.46608077193141406,Jennifer Jacquet,1,0.0008984725965858,0.0,0
Katherine Keating,1,0.0008984725965858042,0.0,0.012061990121582438,0.46608077193141406,Katherine Keating,1,0.0008984725965858,0.0,0
Reid Weingarten,64,0.05750224618149147,0.0013885512691117789,0.056335852155233505,0.4829553736649529,Reid Weingarten,64,0.0575022461814914,0.0013885512691117,2
Bill Gates,37,0.033243486073674756,8.160587433018544e-05,0.05198813450674364,0.4736218540840122,Bill Gates,37,0.0332434860736747,8.160587433018544e-05,4
Bill Joy,34,0.030548068283917342,0.0,0.05100468506572411,0.4729841226826424,Bill Joy,34,0.0305480682839173,0.0,4
Charles Simonyi,34,0.030548068283917342,0.0,0.05100468506572411,0.4729841226826424,Charles Simonyi,34,0.0305480682839173,0.0,4
Craig Venter,34,0.030548068283917342,0.0,0.05100468506572411,0.4729841226826424,Craig Venter,34,0.0305480682839173,0.0,4
Danny Hillis,34,0.030548068283917342,0.0,0.05100468506572411,0.4729841226826424,Danny Hillis,34,0.0305480682839173,0.0,4
Dean Kamen,34,0.030548068283917342,0.0,0.05100468506572411,0.4729841226826424,Dean Kamen,34,0.0305480682839173,0.0,4
Elon Musk,34,0.030548068283917342,0.0,0.05100468506572411,0.4729841226826424,Elon Musk,34,0.0305480682839173,0.0,4
Eric Schmidt,34,0.030548068283917342,0.0,0.05100468506572411,0.4729841226826424,Eric Schmidt,34,0.0305480682839173,0.0,4
Evan Williams,34,0.030548068283917342,0.0,0.05100468506572411,0.4729841226826424,Evan Williams,34,0.0305480682839173,0.0,4
Hubert Burda,34,0.030548068283917342,0.0,0.05100468506572411,0.4729841226826424,Hubert Burda,34,0.0305480682839173,0.0,4
Jacqui Safra,34,0.030548068283917342,0.0,0.05100468506572411,0.4729841226826424,Jacqui Safra,34,0.0305480682839173,0.0,4
Jean Pigozzi,34,0.030548068283917342,0.0,0.05100468506572411,0.4729841226826424,Jean Pigozzi,34,0.0305480682839173,0.0,4
Jeff Bezos,34,0.030548068283917342,0.0,0.05100468506572411,0.4729841226826424,Jeff Bezos,34,0.0305480682839173,0.0,4
Jeff Skoll,34,0.030548068283917342,0.0,0.05100468506572411,0.4729841226826424,Jeff Skoll,34,0.0305480682839173,0.0,4
Jimmy Wales,34,0.030548068283917342,0.0,0.05100468506572411,0.4729841226826424,Jimmy Wales,34,0.0305480682839173,0.0,4
John Doerr,34,0.030548068283917342,0.0,0.05100468506572411,0.4729841226826424,John Doerr,34,0.0305480682839173,0.0,4
Kary Mullis,34,0.030548068283917342,0.0,0.05100468506572411,0.4729841226826424,Kary Mullis,34,0.0305480682839173,0.0,4
Larry Page,34,0.030548068283917342,0.0,0.05100468506572411,0.4729841226826424,Larry Page,34,0.0305480682839173,0.0,4
Maja Hoffman,34,0.030548068283917342,0.0,0.05100468506572411,0.4729841226826424,Maja Hoffman,34,0.0305480682839173,0.0,4
Marissa Mayer,34,0.030548068283917342,0.0,0.05100468506572411,0.4729841226826424,Marissa Mayer,34,0.0305480682839173,0.0,4
Mark Zuckerberg,34,0.030548068283917342,0.0,0.05100468506572411,0.4729841226826424,Mark Zuckerberg,34,0.0305480682839173,0.0,4
Miuccia Prada,34,0.030548068283917342,0.0,0.05100468506572411,0.4729841226826424,Miuccia Prada,34,0.0305480682839173,0.0,4
Nathan Myhrvold,34,0.030548068283917342,0.0,0.05100468506572411,0.4729841226826424,Nathan Myhrvold,34,0.0305480682839173,0.0,4
Nick Pritzker,34,0.030548068283917342,0.0,0.05100468506572411,0.4729841226826424,Nick Pritzker,34,0.0305480682839173,0.0,4
Paul Allen,34,0.030548068283917342,0.0,0.05100468506572411,0.4729841226826424,Paul Allen,34,0.0305480682839173,0.0,4
Pierre Omidyar,34,0.030548068283917342,0.0,0.05100468506572411,0.4729841226826424,Pierre Omidyar,34,0.0305480682839173,0.0,4
Ricardo Salinas Pilego,34,0.030548068283917342,0.0,0.05100468506572411,0.4729841226826424,Ricardo Salinas Pilego,34,0.0305480682839173,0.0,4
Salar Kamangar,34,0.030548068283917342,0.0,0.05100468506572411,0.4729841226826424,Salar Kamangar,34,0.0305480682839173,0.0,4
Sean Parker,34,0.030548068283917342,0.0,0.05100468506572411,0.4729841226826424,Sean Parker,34,0.0305480682839173,0.0,4
Sergey Brin,34,0.030548068283917342,0.0,0.05100468506572411,0.4729841226826424,Sergey Brin,34,0.0305480682839173,0.0,4
Steve Case,34,0.030548068283917342,0.0,0.05100468506572411,0.4729841226826424,Steve Case,34,0.0305480682839173,0.0,4
Tony Fadell,34,0.030548068283917342,0.0,0.05100468506572411,0.4729841226826424,Tony Fadell,34,0.0305480682839173,0.0,4
